类型|留言标题|留言内容|留言时间|答复内容|答复部门|答复时间|主题分类|行政区域
建议|建议537路公交在安四路上设置两至三个临时停车点|建议537路公交在安四路上设置两至三个临时停车点，让夜晚和凌晨坐公交的人感受到政府的温暖。寒冬时节，537路因兴寿镇疫情防控需要封闭，始发站兴寿北站距离第二个站点过于遥远，达到4公里左右。|2021-10-26|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，由于537路受道路封闭影响，采取绕行措施，绕行道路无设站条件且为临时措施，道路修复后将恢复原线路行驶。另外，线路增加站位工作要经过交通主管部门的批准，同时要具备一定的设站条件，还要考虑诸多因素。乘客的意见将作为我们今后工作的参考，我们会根据乘客的意见、具备的条件和路网的规划做好线网工作。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-11-03|公共交通线路|NaN
建议|新增通州以北的上班快速交通|通州宋庄以北，交通不便利只有一个通2路，上班的话，到地铁和四惠都太慢~希望增加一个时间段的早班车，像808快通车一样的，早上有几趟车直接走高速到大望路了，晚上也有两趟从大望路发车到小堡，希望在宋庄以北也增加早班车到交通枢纽|2021-10-26|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，乘客反映的宋庄以北地区附近无公交场站，车辆无法进行停驻，没有司售休息室，不能为线路发车提供保障，且公交运营线路的开通或调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持，并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。目前乘客可乘坐通2路到六合村站换乘808快车到达大望路。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-27|公共交通线路|NaN
建议|建议新开一条专线|连接北土城东路、育慧南路、芍药居北里地区，方便芍药居北里居民可前往北土城方向方便换乘81路和92路首末站：北土城公交场站－望和桥中途设站：北土城公交场站、安贞医院北站、地铁安贞门站、小关、小关东里、地铁惠新西街南口站、对外经贸大学南、对外经贸大学东门、育慧南路（北土城公交场站→望和桥方向）、望和桥西（北土城公交场站→望和桥方向）、芍药居（望和桥→北土城公交场站方向）、望和桥。营业时间：北土城公交场站5:30-22:00，望和桥6:00-22:30。|2021-10-26|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：感谢您对公交线网优化提出的宝贵建议，我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-28|公共交通线路|NaN
建议|强烈建议快速公交3号线增加早高峰发车率|入秋以来，快速公交3号线（宏福苑小区西-安定门）及（温都水城-安定门）的路线没开出两站地便全部满载上不了车，以至于我们在王府温馨公寓与平西王府路口南都上不来车。每次都需要在寒风中站一个多小时才能上车，严重影响上班通勤。希望能够调整早晨7-9点从温都水城或宏福苑小区西起始站的发车频率，让我们一起共建更好的北京。|2021-10-19|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，由于定泗路堵车严重，车辆出现排队现象，导致中途间隔增大，造成留乘现象。针对乘客反映的问题，车队要求驾驶员根据道路实际情况，控制车速，缩短中途间隔，减少乘客的等车时间。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-25|公共交通线路|NaN
建议|快速直达专线153路建议|建议快速直达专线153路公交车在早上和晚上的发车都改为双向|2021-10-19|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经核实，快速直达专153路为定点线路，每天7:00、7:20、7:40、8:20、8:40、9:00间隔20分钟一辆，与543路同线路运营，目的是解决环保科技园区上下班乘客的乘车需求，目前高峰时间段7:30-8:30平均满载为50%，早高峰环保科技园往生命科学园方向、晚高峰生命科学园至环保科技园方向客流极少，现有运营模式是为了加速高峰时间段车辆的周转，根据客流实际走向制定，保证市民早晚高峰正常出行，因此暂不建议双向运营。我们会及时关注线路情况，动态调整行车计划，最大程度上满足乘客出行需求。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-25|公共交通线路|NaN
建议|建议开通F字头公交线路|为方便北京金融安全产业园、阎村科技园和房山桥梁厂家属区周边乘客出行，建议开通F字头微循环公交线路，接驳燕房线大石河东站，提升阎村科技园南北门最后1公里出行便利程度；同时方便大石河东侧温馨公园景观带游客出行，打通大件路——京周路微循环网络。设站为：地铁大石河东站、大石河、大石河温馨公园、房山桥梁厂、房山焦庄村、大窦桥北、大窦桥西、阎村工业园区、地铁大石河东站。营业时间：6:50～9：30；16：50～20：30。乘客可在地铁大石河东站换乘836路、917路和地铁燕房线。|2021-10-18|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，地铁大石河东站、大石河有901路、917路、836路公交线路，房山桥梁厂、房山焦庄村、大窦桥北有901快路可到达大董村换乘地铁房山线或836路、917路。如新开公交线路，会造成该路段重复线路较多，增加运营成本和交通压力，且公交线路设置要符合大多数人的出行利益，兼顾公共服务资源的合理高效使用。针对乘客提出的意见，公交企业需从城市客运体系发展，公交线网整体布局，运力资源配置和外部条件保障等多方面研判，对于合理、具有普遍性、满足实施条件的意见建议，结合线网调整工作予以解决。对于不具备条件、不合理的意见无法全部满足解决。目前以上线路能够满足乘客乘车需求，因此您的建议暂时无法采纳，请谅解。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-25|公共交通线路|NaN
建议|建议北京公交开通“专62快”路车|理由：2017年7月17日北京公交集团新开了专62路，目前专62路客流非常好，早晚高峰期间更是有着超级饱和的客流状态，而且专62路沿线走向涵盖了多个住宅小区和世界之花爱琴海购物中心等。本人观察专62路有几站是客流相对集中且乘客密集的站位，例如：成和园小区站，庑殿家苑站，南场东街西口站，庑殿桥站、榴乡路南站。这几站是客流相对集中的站位，尤其是庑殿桥上下车的乘客很多，因为紧邻世界之花爱琴海购物中心和大红门锦苑小区东门，因此客流相对集中，其次就是国韵村的南场东街西口站还有庑殿家苑站、成和园小区站。因上述几个小区住宅人口相对集中，多年来没有快速直达专线和定制公交线路，建议诉求：因此建议开通专62路快，为早晚高峰期间疏解大客流做很好的帮扶作用，建议开通“专62快”路，沿途站位：宣颐家园、成和园小区、庑殿家苑、南场东街西口、庑殿桥、榴乡桥南站、地铁宋家庄站。（上述几站乘客相对集中，早晚客流压力相对凸显，专62路每趟车都是超饱和的状态，鉴于上述情况，建议公交集团客三分公司开通专62快，早晚各3趟车次，能够有效缓解宋家庄客流集中等情况），望积极落实市民诉求建议，谢谢。|2021-10-12|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路的开通或调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持（如：站位设置要考虑道路情况、车辆停靠情况、乘客乘车是否安全以及公交集团对站位设置的相关规定等综合情况），并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-14|公共交通线路|NaN
建议|建议无轨电车111平安里路口的转弯电线网尽快恢复并架设3路右转线网|公交集团领导您们好：平安里路口线网自从上世纪架设至今已有几十年历史，见证这街区发展。然而今年居然拆除线网，导致111电车搭杆里程一年比一年少，破坏电车运营秩序。如果电车线网“视觉污染”，那么请问高铁线网是不是“视觉污染”？地铁线网是不是“视觉污染”？有轨电车是不是“视觉污染”？高压电线是不是“视觉污染”？通信线缆是不是“视觉污染”？是不是应该拆除地铁、高铁、有轨电车、高压线网、通信线缆？难道领导们的眼中可以容下牛皮藓小广告、无序的电动车、地铁高铁、有轨电车、高压线、通信线缆，就容不下两根无轨电车线网？？无轨电车线网才能展现京城的古老悠久，向八方来客展现首都风貌。建议该路口恢复111路双向转弯线网，同时因为右转线网架设方便不用过多横线，建议架设3路南向东右转线网。强烈希望采纳本建议，如果无法采纳请电车公司说出一个能让人信服的理由！同时衷心祝愿和期待无轨电车发展越来越好！|2021-10-10|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，乘客所提到的电车转弯弯道线网需要在空中架设较多的横线及圏横线来支撑线网，会显得比较复杂，依然会被归为视觉污染。为了能够保存绝大部分的电车线网，我们只能按照政策优化线网，减少视觉污染。因此目前还无法恢复您所提及路口的弯道线网。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-25|公共交通线路|NaN
建议|建议北京公交集团无轨电车相关|"据了解，北京公交集团现有BJD-WG120FN等多款无轨电车疑似为”在线充纯电动车“，其集电杆获取电能后并不能直接驱动电机运行，而是充进电池后由电池驱动车辆运行。（而真正的双源无轨电车是集电杆电能可以直接驱动电机，同时给电池充电；）而由于在线充车辆只能给电池充电，不能直驱电机的特性，长期过充等情况会造成电池损坏（如武汉在线充无轨电车用了几年电池都不行了）同时在电能--电池--电机模式运行也会造成能源消耗。对使用不利。因此，建议""在线充无轨电车”改为可以直接驱动电机的双源无轨电车，同时以后车辆均使用双源无轨电车。"|2021-10-09|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，北京公交所属无轨电车均为双源驱动，即在架空线网区域由架空接触网供电（同时为电池充电）、电动机驱动，在非架空线网区域由电池供电、电动机驱动。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-14|公共交通线路|NaN
建议|建议能够恢复灯市口104、108路的转弯电车线网|经本人实地查看，目前灯市东口路口处的电车杆均有预留架设转弯线网的位置，且目前104、108、111要到灯市西口才能升杆，尤其111路降杆里程长。且灯市口路口上方都是绿荫，架设线网根本不会有“视觉污染”，如果线网是视觉污染，那路口上空的成片绿茵是不是也属于视觉污染了呢？建议尽快恢复该路口电车线网。|2021-10-08|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：经查，乘客所提到的灯市东口路口线网是需要电车转弯的弯道线网，弯道线网需要在空中架设较多的横线及圏横线来支撑线网，会显得比较复杂，因此目前还无法恢复您所提及路口的弯道线网。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-14|公共交通线路|NaN
建议|关于调整回天地区的线路的建议|一、开通548路（环保科技园——地铁西二旗站），548快（原快速直达专线153路），844路（土井村西口——地铁龙泽站）。548路环保科技园始发，途经稻香湖路、北清路、永澄北路、丰润中路、永泽路、邓庄南路、京包路，终到地铁西二旗站。844路土井村西口始发，途经土井南路、土井村南口路、西北旺北路、西北旺一街、德政路、西北旺二街、后厂村路、永丰路、北清路、育知路、同城街，终到地铁龙泽站。同时停驶543、专128路、快速直达专线202、203路，原线路被548和844路取代。二、开通443、444路，停驶专80、专101、专102路。443路（天鑫家园——龙锦苑东五区南门）单向运营，天鑫家园始发，途经回龙观东大街、良庄西路、同成街、文华东路、龙跃路、育知路、同成街、G6辅路、周良路、育知西路、回南路、G6辅路、回南北路、育知路、回南路、科星西路、周良路，终到龙锦苑东五区南门。444路（龙锦苑东五区南门——天鑫家园）单向运营，龙锦苑东五区南门始发，途经周良路、科星西路、回南路、G6辅路、回南北路、育知西路、同成街、G6辅路、周良路、育知路、龙腾街、文华东路、同成街、良庄西路、回龙观东大街，终到天鑫家园。三、开通426路，停驶专49、专103路。426路（霍营公交场站——罗兰香谷小区），途经太平庄北街、文博路、南店北路、G6辅路、华北电力大学南街、回昌东路、定泗路、G6辅路、沙阳路，在罗兰香谷小区圈点。四、开通427路，调整417路，停驶专131路、快速直达专线56路、163路。417路（英才南三街东口——地铁朱辛庄站）东段维持原线路不变，经北清路到回昌东路右转，终到地铁朱辛庄站。427路（白各庄公交场站——二拨子），途经白各庄新村路、北清路、黄平路、回南北路、文华路、回龙观西大街、育知东路、龙禧二街、育知路、龙禧三街、行知路、龙禧二街、G6辅路，在二拨子站圈点，下行直行经回南北路、行知路回原线路。白各庄公交场站去往地铁朱辛庄站可乘坐551在马连店东站换乘417路，去往天通苑北枢纽站可换乘441路。五、调整428路，428路西段和996重复，故建议文华东路以东的部分保持不变，文华东路以西的部分经文华东路、回南北路、育知东路、龙腾街、育知路、回龙观西大街、育知西路、同成街终到地铁龙泽站。六、开通429路，专81路更改路号为581路，停驶专89路。429路（东小口村委会——东小口村委会）东小口村委会始发，途经西小口路、悦秀路、安宁庄路、G6辅路、南店路、太平庄北街、黄平路、安宁庄路、黑泉路、西小口路，终到东小口村委会。七、开通660路，调整607路，停驶专160路。660路（龙锦苑公交场站——地铁永泰庄站），龙锦苑公交场站始发，途经回南北路、霍营西路、回龙观东大街、黄平路、安宁庄路、G6辅路、小营东路、后屯路，在地铁永泰庄站圈点。下行直行后屯路，经永泰庄北路回原线路。607路经黄平路改行后屯路、龙岗路回原线路，去往育新、西三旗、四拨子可在地铁霍营站东换成660路。八、开通479路，停驶专28路、专29路、专139路。479路（育新小区——地铁安河桥北站），育新小区始发，途经安宁庄路、G6辅路、西二旗大街、西二旗西路、上地三街、厢黄旗东路、农大南路、龙背村路，终到地铁安河桥北站。九、调整642路，开通673路，停驶330路、专54、专143路。673路（后沙涧——清河火车站西广场）后沙涧始发，经温阳路、北清路、稻香湖路、温泉路、黑龙潭路、亮甲店路、西北旺北路、西北旺西路、永丰南路、永丰路、西北旺北路、西北旺二街、德政路、西北旺东路、后厂村路、东北旺西路、东北旺路、上地七街、上地东路，在清河火车站西广场圈点，下行直行经上地三街、上地西路、东北旺路回原线。642直行温阳路，经温泉路、白家疃路、东埠头路、向山路，终到水岸家园南。十、开通525路，停驶专35、专104、专117路。525路（玉衡街——燕丹），玉衡街始发，途经玉衡街、天权路、东北路、天权路、天宣街、瑶光路、定泗路、立汤路、太平庄北街、立水桥东一路、太平庄中二街、太平庄中路、太海路，终到燕丹。十一、开通635路，停驶专50路。635路（小沙河村公交场站——大运村公交场站），小沙河村公交场站始发，途经七小路、定泗路、回昌东路、北清路、京藏高速、北四环、大运村路，终到大运村公交场站。十二、调整463路，由原来的基杨路、育知路、龙禧二街、育知西路的路由改成基杨路、回南北路、行知路、龙禧二街、育知西路的路由。十三、待到黄平西侧路和文华路修通以后，开通482路，停驶专192、专193路。482路（霍营公交场站——未来科学城北站），霍营公交场站始发，途经科星西路、龙跃街、良庄西街、龙跃街、文华东路、十里长街、文华西路、回南北路、文华路、北清路、黄平西侧路、定泗路、未来科学城大道、英才北三街，终到未来科学城北站。|2021-10-08|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路的开通或调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持（如：站位设置要考虑道路情况、车辆停靠情况、乘客乘车是否安全以及公交集团对站位设置的相关规定等综合情况），并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-14|公共交通线路|NaN
建议|建议增加门头沟新城快速进城公交。|根据市政府2035年规划，门头沟作为生态涵养区吸引了很多居民到门头沟居住，门头沟新城经过最近几年发展，有大量居民来到门头沟新城定居。目前地铁S1线在早晚高峰已经有部分人上不去车了，门头沟新城居民很多人经过莲石路进城，希望能增加门头沟新城进城的快速公交或者大站快线进城公交，为居民提供快速进城公共交通。|2021-10-08|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：公交运营线路的开通或调整既要符合线网规划，又要符合大多数乘客出行需求，还要有相关政策和配套的场站设施支持（如：站位设置要考虑道路情况、车辆停靠情况、乘客乘车是否安全以及公交集团对站位设置的相关规定等综合情况），并得到市相关部门的审批。我们将认真汇总、梳理、研究您的建议，将您的建议纳入公交集团线网优化方案中。同时我们也会根据城市公交线网的整体规划，逐步增开和调整公交线路，以方便百姓出行。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-14|公共交通线路|NaN
建议|希望开通亦庄区域到西二环的通勤公交车|目前亦庄区域到西二环广安门等区域的通勤很不方便，上班族经常要换乘三至四趟公交才能到达，西二环是老城区，很多企事业单位国家部门都聚集于此，上班者很多，希望尽快开通亦庄区域至西二环广安门、牛街等区域的公交车.|2021-10-08|来信人您好，您的来信我们已收悉，针对您的意见，现答复如下：为了缓解北京市道路交通拥堵问题，以及为了优化线路、减少重复线路、节约资源、减少空气污染的目的，公交集团不断对已有线路进行调整，目前北京市公交线路已组成网状线路，市民可通过换乘的方式到达各个市内地区。公交线路要兼顾运营组织的均衡和城市发展建设的需要，不可能实现每个地区都具备直达线路，市民的通勤诉求可以通过换乘实现或搜索北京定制公交小程序了解定制公交服务。感谢您对公交行业的关注，欢迎您继续监督我们的工作。|公交集团公司|2021-10-11|公共交通线路|NaN
